Suburb	PostCode	State	BSPname
SYDNEY	1160	NSW	SYDNEY BOXES
SYDNEY	1161	NSW	SYDNEY BOXES
SYDNEY	1162	NSW	SYDNEY BOXES
SYDNEY	1163	NSW	SYDNEY BOXES
SYDNEY	1164	NSW	SYDNEY BOXES
SYDNEY	1165	NSW	SYDNEY BOXES
SYDNEY	1166	NSW	SYDNEY BOXES
SYDNEY	1167	NSW	SYDNEY BOXES
SYDNEY	1168	NSW	SYDNEY BOXES
SYDNEY	1169	NSW	SYDNEY BOXES
SYDNEY	1170	NSW	SYDNEY BOXES
SYDNEY	1171	NSW	SYDNEY BOXES
SYDNEY	1172	NSW	SYDNEY BOXES
SYDNEY	1173	NSW	SYDNEY BOXES
SYDNEY	1174	NSW	SYDNEY BOXES
SYDNEY	1175	NSW	SYDNEY BOXES
SYDNEY	1176	NSW	SYDNEY BOXES
SYDNEY	1177	NSW	SYDNEY BOXES
SYDNEY	1178	NSW	SYDNEY BOXES
SYDNEY	1179	NSW	SYDNEY BOXES
SYDNEY	1180	NSW	SYDNEY BOXES
SYDNEY	1181	NSW	SYDNEY BOXES
SYDNEY	1182	NSW	SYDNEY BOXES
SYDNEY	1183	NSW	SYDNEY BOXES
SYDNEY	1184	NSW	SYDNEY BOXES
SYDNEY	1185	NSW	SYDNEY BOXES
SYDNEY	1186	NSW	SYDNEY BOXES
SYDNEY	1187	NSW	SYDNEY BOXES
SYDNEY	1188	NSW	SYDNEY BOXES
SYDNEY	1189	NSW	SYDNEY BOXES
SYDNEY	1190	NSW	SYDNEY BOXES
SYDNEY	1191	NSW	SYDNEY BOXES
SYDNEY	1192	NSW	SYDNEY BOXES
SYDNEY	1193	NSW	SYDNEY BOXES
SYDNEY	1194	NSW	SYDNEY BOXES
SYDNEY	1195	NSW	SYDNEY BOXES
SYDNEY	1196	NSW	SYDNEY BOXES
SYDNEY	1197	NSW	SYDNEY BOXES
SYDNEY	1198	NSW	SYDNEY BOXES
SYDNEY	1199	NSW	SYDNEY BOXES
SYDNEY	1200	NSW	SYDNEY BOXES
SYDNEY	1201	NSW	SYDNEY BOXES
SYDNEY	1202	NSW	SYDNEY BOXES
SYDNEY	1203	NSW	SYDNEY BOXES
SYDNEY	1204	NSW	SYDNEY BOXES
SYDNEY	1205	NSW	SYDNEY BOXES
SYDNEY	1206	NSW	SYDNEY STREETS
SYDNEY	1207	NSW	SYDNEY STREETS
HAYMARKET	1208	NSW	SYDNEY STREETS
AUSTRALIA SQUARE	1209	NSW	SYDNEY STREETS
AUSTRALIA SQUARE	1210	NSW	SYDNEY STREETS
AUSTRALIA SQUARE	1211	NSW	SYDNEY STREETS
AUSTRALIA SQUARE	1212	NSW	SYDNEY STREETS
AUSTRALIA SQUARE	1213	NSW	SYDNEY STREETS
AUSTRALIA SQUARE	1214	NSW	SYDNEY STREETS
AUSTRALIA SQUARE	1215	NSW	SYDNEY STREETS
GROSVENOR PLACE	1216	NSW	SYDNEY STREETS
GROSVENOR PLACE	1217	NSW	SYDNEY STREETS
GROSVENOR PLACE	1218	NSW	SYDNEY STREETS
GROSVENOR PLACE	1219	NSW	SYDNEY STREETS
GROSVENOR PLACE	1220	NSW	SYDNEY STREETS
ROYAL EXCHANGE	1221	NSW	SYDNEY STREETS
ROYAL EXCHANGE	1222	NSW	SYDNEY STREETS
ROYAL EXCHANGE	1223	NSW	SYDNEY STREETS
ROYAL EXCHANGE	1224	NSW	SYDNEY STREETS
ROYAL EXCHANGE	1225	NSW	SYDNEY STREETS
QUEEN VICTORIA BUILDING	1226	NSW	SYDNEY STREETS
QUEEN VICTORIA BUILDING	1227	NSW	SYDNEY STREETS
QUEEN VICTORIA BUILDING	1228	NSW	SYDNEY STREETS
QUEEN VICTORIA BUILDING	1229	NSW	SYDNEY STREETS
QUEEN VICTORIA BUILDING	1230	NSW	SYDNEY STREETS
SYDNEY SOUTH	1231	NSW	SYDNEY STREETS
SYDNEY SOUTH	1232	NSW	SYDNEY STREETS
SYDNEY SOUTH	1233	NSW	SYDNEY STREETS
SYDNEY SOUTH	1234	NSW	SYDNEY STREETS
SYDNEY SOUTH	1235	NSW	SYDNEY STREETS
HAYMARKET	1236	NSW	SYDNEY STREETS
HAYMARKET	1237	NSW	SYDNEY STREETS
HAYMARKET	1238	NSW	SYDNEY STREETS
HAYMARKET	1239	NSW	SYDNEY STREETS
HAYMARKET	1240	NSW	SYDNEY STREETS
SYDNEY	1291	NSW	SYDNEY BOXES
SYDNEY	1292	NSW	SYDNEY BOXES
SYDNEY	1293	NSW	SYDNEY BOXES
SYDNEY	1294	NSW	SYDNEY BOXES
SYDNEY	1295	NSW	SYDNEY BOXES
SYDNEY	1296	NSW	SYDNEY BOXES
SYDNEY	1297	NSW	SYDNEY BOXES
SYDNEY	1298	NSW	SYDNEY BOXES
SYDNEY	1299	NSW	SYDNEY BOXES
DARLINGHURST	1300	NSW	WATERLOO
EASTERN SUBURBS MC	1311	NSW	SYDNEY BOXES
EASTERN SUBURBS MC	1312	NSW	SYDNEY BOXES
EASTERN SUBURBS MC	1313	NSW	SYDNEY BOXES
EASTERN SUBURBS MC	1314	NSW	SYDNEY BOXES
EASTERN SUBURBS MC	1315	NSW	SYDNEY BOXES
EASTERN SUBURBS MC	1316	NSW	SYDNEY BOXES
EASTERN SUBURBS MC	1317	NSW	SYDNEY BOXES
EASTERN SUBURBS MC	1318	NSW	SYDNEY BOXES
EASTERN SUBURBS MC	1319	NSW	SYDNEY BOXES
EASTERN SUBURBS MC	1320	NSW	SYDNEY BOXES
EASTERN SUBURBS MC	1321	NSW	SYDNEY BOXES
EASTERN SUBURBS MC	1322	NSW	SYDNEY BOXES
